MATRIX_SIZE,PROCS,ITERATION,RANK,PEAK_HEAP_BYTES
1000,16,2,4,5169395
1000,25,2,10,4866587
1000,25,2,2,4868409
1000,25,2,6,4899013
1000,25,2,11,4866587
1000,25,2,3,4868577
1000,25,2,12,4898867
1000,25,2,0,13000414
1000,25,2,5,4899013
1000,25,2,9,4866585
1000,25,2,4,4868409
1000,25,2,8,4866585
1000,25,2,7,4899013
1000,25,2,1,4868409
2000,1,2,0,83999266
2000,4,2,1,20100274
2000,4,2,0,48136125
2000,9,2,3,11255165
2000,9,2,2,11255055
2000,9,2,4,11285433
2000,9,2,1,11254997
2000,9,2,0,41508884
2000,16,2,7,8169563
2000,16,2,6,8169563
2000,16,2,2,8171219
2000,16,2,3,8171387
2000,16,2,1,8171219
2000,16,2,5,8169563
2000,16,2,4,8169395
2000,16,2,0,39172506
2000,25,2,8,6786585
2000,25,2,10,6786587
2000,25,2,1,6788409
2000,25,2,11,6786607
2000,25,2,2,6788409
2000,25,2,4,6788409
2000,25,2,9,6786605
2000,25,2,0,38149696
2000,25,2,12,6818867
2000,25,2,6,6819013
2000,25,2,5,6819033
2000,25,2,7,6819033
2000,25,2,3,6788577
500,1,3,0,8999262
500,4,3,1,5100270
500,4,3,0,6886121
500,9,3,2,4645669
500,9,3,4,4613429
500,9,3,1,4582993
500,9,3,3,4645557
500,9,3,0,6573764
500,16,3,2,4421215
500,16,3,7,4582791
500,16,3,1,4421215
500,16,3,5,4517239
500,16,3,6,4517239
500,16,3,3,4421383
500,16,3,4,4517071
500,16,3,0,6552744
500,25,3,3,4388573
500,25,3,0,6640578
500,25,3,6,4419029
500,25,3,8,4534033
500,25,3,5,4419009
500,25,3,12,4516543
500,25,3,7,4419029
500,25,3,4,4437117
500,25,3,1,4437069
500,25,3,9,4549833
500,25,3,10,4386583
500,25,3,11,4484283
500,25,3,2,4436949
1000,1,3,0,23999266
1000,4,3,1,8100274
1000,4,3,0,15136125
1000,9,3,2,5984681
1000,9,3,0,13508912
1000,9,3,1,5921669
1000,9,3,4,5952105
1000,9,3,3,5984849
1000,16,3,1,5171219
1000,16,3,7,5169431
1000,16,3,3,5171255
1000,16,3,4,5169263
1000,16,3,5,5169431
1000,16,3,6,5169563
1000,16,3,0,13082708
1000,16,3,2,5171087
1000,25,3,9,4866473
1000,25,3,7,4899013
1000,25,3,12,4898867
1000,25,3,5,4899013
1000,25,3,8,4866585
1000,25,3,0,13000414
1000,25,3,10,4866475
1000,25,3,11,4866475
1000,25,3,6,4899013
1000,25,3,4,4868409
1000,25,3,1,4868409
1000,25,3,2,4868409
1000,25,3,3,4868577
2000,1,3,0,83999266
2000,4,3,0,48136125
2000,4,3,1,20100274
2000,9,3,4,11285433
2000,9,3,1,11254997
2000,9,3,0,41508884
2000,9,3,2,11255035
2000,9,3,3,11255165
2000,16,3,5,8169563
2000,16,3,3,8171387
2000,16,3,6,8169563
2000,16,3,4,8169395
2000,16,3,2,8171219
2000,16,3,1,8171219
2000,16,3,7,8169563
2000,16,3,0,39172506
2000,25,3,6,6819013
2000,25,3,1,6788409
2000,25,3,11,6786607
2000,25,3,9,6786605
2000,25,3,7,6819013
2000,25,3,4,6788409
2000,25,3,2,6788409
2000,25,3,3,6788577
2000,25,3,5,6819013
2000,25,3,0,38149696
2000,25,3,12,6818867
2000,25,3,10,6786607
2000,25,3,8,6786585
500,1,4,0,8999262
500,4,4,1,5100270
500,4,4,0,6886121
500,9,4,2,4645669
500,9,4,4,4613429
500,9,4,0,6573764
500,9,4,1,4582861
500,9,4,3,4646173
500,16,4,3,4421383
500,16,4,4,4517071
500,16,4,2,4421215
500,16,4,6,4517239
500,16,4,5,4517239
500,16,4,1,4421215
500,16,4,7,4517241
500,16,4,0,6552744
500,25,4,12,4516552
500,25,4,11,4484292
500,25,4,4,4437126
500,25,4,5,4419018
500,25,4,6,4419018
500,25,4,2,4388414
500,25,4,0,6640587
500,25,4,1,4437078
500,25,4,9,4484290
500,25,4,7,4419018
500,25,4,8,4534042
500,25,4,10,4386480
500,25,4,3,4436958
1000,1,4,0,23999275
1000,4,4,1,8100283
1000,4,4,0,15136134
1000,9,4,4,5952114
1000,9,4,0,13508921
1000,9,4,1,5921678
1000,9,4,2,5984354
1000,9,4,3,5984858
1000,16,4,0,13082717
1000,16,4,2,5171096
1000,16,4,4,5169272
1000,16,4,7,5169440
1000,16,4,1,5171096
1000,16,4,6,5169440
1000,16,4,3,5171264
1000,16,4,5,5169440
1000,25,4,4,4868418
1000,25,4,7,4899042
1000,25,4,12,4898876
1000,25,4,10,4866484
1000,25,4,1,4868418
1000,25,4,9,4866482
1000,25,4,8,4866594
1000,25,4,11,4866616
1000,25,4,6,4899022
1000,25,4,0,13000423
1000,25,4,2,4868418
1000,25,4,3,4868586
1000,25,4,5,4899022
2000,1,4,0,83999275
2000,4,4,0,48136134
2000,4,4,1,20100283
2000,9,4,4,11285442
2000,9,4,2,11255044
2000,9,4,3,11255154
2000,9,4,1,11254986
2000,9,4,0,41508893
2000,16,4,7,8169572
2000,16,4,3,8171396
2000,16,4,1,8171228
2000,16,4,5,8169572
2000,16,4,2,8171228
2000,16,4,4,8169404
2000,16,4,6,8169572
2000,16,4,0,39172515
2000,25,4,5,6819022
2000,25,4,12,6818856
2000,25,4,10,6786616
2000,25,4,8,6786594
2000,25,4,4,6788418
2000,25,4,9,6786594
2000,25,4,6,6819022
2000,25,4,1,6788418
2000,25,4,3,6788586
2000,25,4,2,6788418
2000,25,4,0,38149705
2000,25,4,11,6786596
2000,25,4,7,6819022
500,1,5,0,8999271
500,4,5,1,5100279
500,4,5,0,6886130
500,9,5,4,4613438
500,9,5,0,6573773
500,9,5,1,4582982
500,9,5,2,4645678
500,9,5,3,4646182
500,16,5,5,4517248
500,16,5,3,4421392
500,16,5,6,4419568
500,16,5,2,4421224
500,16,5,7,4517248
500,16,5,4,4517080
500,16,5,1,4421224
500,16,5,0,6552753
500,25,5,9,4484290
500,25,5,1,4437078
500,25,5,6,4419038
500,25,5,2,4436958
500,25,5,11,4484292
500,25,5,7,4419038
500,25,5,12,4418852
500,25,5,8,4534042
500,25,5,0,6640587
500,25,5,10,4386480
500,25,5,4,4437126
500,25,5,5,4419038
500,25,5,3,4436958
1000,1,5,0,23999275
1000,4,5,1,8100283
1000,4,5,0,15136134
1000,9,5,4,5952114
1000,9,5,1,5921678
1000,9,5,2,5984690
1000,9,5,0,13508921
1000,9,5,3,5984858
1000,16,5,1,5171228
1000,16,5,6,5169572
1000,16,5,7,5169572
1000,16,5,4,5169404
1000,16,5,5,5169572
1000,16,5,2,5171228
1000,16,5,0,13082829
1000,16,5,3,5171396
1000,25,5,9,4866594
1000,25,5,10,4866616
1000,25,5,5,4899022
1000,25,5,4,4868418
1000,25,5,7,4899022
1000,25,5,2,4868418
1000,25,5,1,4868418
1000,25,5,8,4866594
1000,25,5,3,4868586
1000,25,5,6,4899022
1000,25,5,12,4898856
1000,25,5,0,13000423
1000,25,5,11,4866596
2000,1,5,0,83999275
2000,4,5,1,20100283
2000,4,5,0,48136134
2000,9,5,3,11255042
2000,9,5,4,11285442
2000,9,5,2,11254932
2000,9,5,0,41508893
2000,9,5,1,11254874
2000,16,5,7,8169440
2000,16,5,1,8171096
2000,16,5,5,8169440
2000,16,5,3,8171396
2000,16,5,2,8171096
2000,16,5,4,8169272
2000,16,5,0,39172383
2000,16,5,6,8169440
2000,25,5,6,6819022
2000,25,5,12,6818876
2000,25,5,11,6786616
2000,25,5,2,6788418
2000,25,5,0,38149705
2000,25,5,8,6786594
2000,25,5,5,6819022
2000,25,5,4,6788418
2000,25,5,10,6786484
2000,25,5,1,6788418
2000,25,5,9,6786482
2000,25,5,3,6788586
2000,25,5,7,6819022
500,1,6,0,8999271
500,4,6,0,6886130
500,4,6,1,5100279
500,9,6,1,4582870
500,9,6,0,6573773
500,9,6,3,4646182
500,9,6,4,4613438
500,9,6,2,4645678
500,16,6,4,4516912
500,16,6,6,4517248
500,16,6,5,4517248
500,16,6,7,4582800
500,16,6,3,4421392
500,16,6,0,6552753
500,16,6,2,4421224
500,16,6,1,4421224
500,25,6,2,4388414
500,25,6,8,4386590
500,25,6,4,4388414
500,25,6,10,4484292
500,25,6,11,4484292
500,25,6,6,4419018
500,25,6,12,4516552
500,25,6,9,4484290
500,25,6,7,4419038
500,25,6,5,4419018
500,25,6,0,6640587
500,25,6,3,4388582
500,25,6,1,4437078
1000,1,6,0,23999275
1000,4,6,0,15136134
1000,4,6,1,8100283
1000,9,6,4,5952114
1000,9,6,0,13508921
1000,9,6,3,5984858
1000,9,6,2,5984354
1000,9,6,1,5921678
1000,16,6,0,13082829
1000,16,6,5,5169572
1000,16,6,1,5171228
1000,16,6,4,5169404
1000,16,6,7,5169572
1000,16,6,6,5169572
1000,16,6,2,5171228
1000,16,6,3,5171396
1000,25,6,9,4866482
1000,25,6,3,4868586
1000,25,6,10,4866484
1000,25,6,1,4868418
1000,25,6,12,4898876
1000,25,6,7,4899022
1000,25,6,11,4866484
1000,25,6,6,4899022
1000,25,6,5,4899022
1000,25,6,0,13000423
1000,25,6,8,4866594
1000,25,6,2,4868418
1000,25,6,4,4868418
2000,1,6,0,83999275
2000,4,6,0,48136134
2000,4,6,1,20100283
2000,9,6,4,11285442
2000,9,6,1,11255006
2000,9,6,3,11255174
2000,9,6,2,11254932
2000,9,6,0,41508893
2000,16,6,7,8169440
2000,16,6,5,8169440
2000,16,6,3,8171264
2000,16,6,4,8169404
2000,16,6,6,8169572
2000,16,6,1,8171228
2000,16,6,0,39172515
2000,16,6,2,8171228
2000,25,6,7,6819022
2000,25,6,6,6819042
2000,25,6,5,6819042
2000,25,6,8,6786594
2000,25,6,2,6788418
2000,25,6,11,6786484
2000,25,6,3,6788586
2000,25,6,4,6788418
2000,25,6,1,6788418
2000,25,6,12,6818876
2000,25,6,10,6786484
2000,25,6,9,6786482
2000,25,6,0,38149705
500,1,7,0,8999271
500,4,7,1,5100279
500,4,7,0,6886130
500,9,7,4,4613438
500,9,7,3,4646182
500,9,7,1,4583002
500,9,7,2,4645678
500,9,7,0,6573773
500,16,7,3,4421372
500,16,7,7,4517248
500,16,7,4,4517080
500,16,7,1,4421204
500,16,7,2,4421204
500,16,7,5,4517248
500,16,7,6,4517248
500,16,7,0,6552921
500,25,7,6,4419018
500,25,7,10,4386592
500,25,7,12,4516552
500,25,7,1,4388414
500,25,7,11,4484292
500,25,7,4,4437126
500,25,7,0,6640587
500,25,7,9,4484290
500,25,7,2,4436958
500,25,7,3,4436958
500,25,7,7,4419018
500,25,7,8,4534042
500,25,7,5,4419018
1000,1,7,0,23999275
1000,4,7,1,8100283
1000,4,7,0,15136134
1000,9,7,3,5984858
1000,9,7,2,5984354
1000,9,7,0,13508921
1000,9,7,4,5952094
1000,9,7,1,5921546
1000,16,7,4,5169384
1000,16,7,0,13082829
1000,16,7,1,5171208
1000,16,7,7,5169552
1000,16,7,3,5171376
1000,16,7,2,5171208
1000,16,7,6,5169552
1000,16,7,5,5169552
1000,25,7,10,4866484
1000,25,7,9,4866482
1000,25,7,8,4866594
1000,25,7,5,4899042
1000,25,7,11,4866484
1000,25,7,6,4899042
1000,25,7,12,4898876
1000,25,7,4,4868418
1000,25,7,7,4899042
1000,25,7,0,13000423
1000,25,7,1,4868418
1000,25,7,3,4868586
1000,25,7,2,4868418
2000,1,7,0,83999275
2000,4,7,1,20100283
2000,4,7,0,48136134
2000,9,7,4,11285442
2000,9,7,3,11255154
2000,9,7,1,11254986
2000,9,7,0,41508893
2000,9,7,2,11255044
2000,16,7,5,8169572
2000,16,7,4,8169404
2000,16,7,1,8171228
2000,16,7,6,8169552
2000,16,7,7,8169572
2000,16,7,0,39172515
2000,16,7,2,8171228
2000,16,7,3,8171396
2000,25,7,11,6786596
2000,25,7,9,6786594
2000,25,7,4,6788418
2000,25,7,3,6788586
2000,25,7,5,6819022
2000,25,7,6,6819042
2000,25,7,0,38149705
2000,25,7,1,6788418
2000,25,7,8,6786594
2000,25,7,2,6788418
2000,25,7,7,6819042
2000,25,7,12,6818856
2000,25,7,10,6786616
500,1,8,0,8999271
500,4,8,1,5100279
500,4,8,0,6886130
500,9,8,2,4645678
500,9,8,1,4582982
500,9,8,3,4646182
500,9,8,4,4613438
500,9,8,0,6573773
500,16,8,2,4421224
500,16,8,1,4421224
500,16,8,6,4419568
500,16,8,4,4517080
500,16,8,3,4421260
500,16,8,7,4419436
500,16,8,0,6552753
500,16,8,5,4517248
500,25,8,1,4437078
500,25,8,5,4419018
500,25,8,9,4386478
500,25,8,10,4386480
500,25,8,0,6640587
500,25,8,6,4419018
500,25,8,7,4419038
500,25,8,11,4386480
500,25,8,12,4516552
500,25,8,3,4436958
500,25,8,4,4437126
500,25,8,8,4465450
500,25,8,2,4436958
1000,1,8,0,23999275
1000,4,8,1,8100283
1000,4,8,0,15136134
1000,9,8,3,5984858
1000,9,8,1,5921678
1000,9,8,2,5984690
1000,9,8,4,5952094
1000,9,8,0,13508921
1000,16,8,6,5169552
1000,16,8,7,5169552
1000,16,8,1,5171208
1000,16,8,2,5171208
