processes,matrix_size,elapsed_time_sec,user_cpu_sec,sys_cpu_sec,max_rss_kb,#context_switch
64,500,0.928908,0.731835,0.520904,75256,607
1,1000,6.972509,6.901149,0.062745,79228,17
4,1000,2.879724,2.795494,0.903756,78912,30
9,1000,2.165324,2.047412,0.972228,77292,48
16,1000,1.935401,1.794225,0.964757,77384,57
25,1000,1.899973,1.715106,1.025510,76752,87
36,1000,2.050933,1.713953,1.178529,78768,264
49,1000,2.788669,2.437127,1.670888,79080,334
64,1000,2.570704,2.332741,1.438008,83300,535
1,2000,55.159717,54.744134,0.373655,137620,123
4,2000,16.781426,16.502381,3.643456,112364,56
9,2000,10.786738,10.536326,3.724437,105708,100
16,2000,8.416067,8.141084,3.548297,102684,118
25,2000,7.660806,7.287462,3.710439,101824,179
36,2000,8.366906,7.220130,4.510041,101056,207
49,2000,10.271245,9.751728,5.848874,101644,246
64,2000,10.226681,9.579556,5.504873,102628,562
1,500,1.092967,1.071062,0.021858,64596,7
4,500,0.670898,0.618575,0.271495,72560,38
9,500,0.578459,0.517693,0.293905,71748,47
16,500,0.579121,0.537464,0.296735,71836,153
25,500,0.571976,0.472263,0.320001,73316,169
36,500,0.615008,0.482520,0.373787,72636,200
49,500,0.781143,0.598571,0.461503,74680,192
64,500,0.910280,0.700918,0.519087,75228,535
1,1000,6.961240,6.885046,0.066665,79000,18
4,1000,2.902002,2.808991,0.895312,80040,20
9,1000,2.177555,2.090296,0.963777,78772,38
16,1000,1.975672,1.826649,1.024299,77296,91
25,1000,1.920931,1.731711,1.034741,77340,135
36,1000,2.129392,1.762410,1.255001,78404,182
49,1000,2.805853,2.422216,1.691850,79392,183
64,1000,2.596499,2.338025,1.466846,82508,637
1,2000,53.199712,52.791687,0.367535,137644,90
4,2000,16.730628,16.481375,3.567350,111280,69
9,2000,10.441917,10.171484,3.509345,104628,132
16,2000,8.605409,8.316850,3.679014,103404,125
25,2000,7.903641,7.567072,3.879739,100988,133
36,2000,10.735006,10.352891,5.979284,103160,218
49,2000,10.346297,9.837813,5.968722,101752,241
64,2000,10.112624,9.445910,5.378959,103560,538
1,500,1.080750,1.061946,0.018789,64892,8
4,500,0.645748,0.591927,0.265522,71412,23
9,500,0.594085,0.521682,0.283228,71496,88
16,500,0.545162,0.489864,0.299164,72300,54
25,500,0.614008,0.494192,0.335838,72312,109
36,500,0.631011,0.483719,0.356247,73072,257
49,500,0.890064,0.703371,0.535574,73420,423
64,500,0.907481,0.704166,0.515896,74456,839
1,1000,6.943299,6.877284,0.060637,79004,18
4,1000,2.892819,2.804278,0.918546,79892,23
9,1000,2.160964,2.064211,0.949225,77232,31
16,1000,1.964407,1.817825,0.987684,77464,96
